TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""DESCOSTURANDO COM HERCHCOVITCH"" TEMPORADA 2";B2400134000000;04/04/2024;DEFERIDO;REALITY-SHOW;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;460;10;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MOOD HUNTER PRODUÇÕES LTDA;06.177.126/0001-12;SP;SÃO PAULO
(IN)CONFIDENCIAS;B2400151600000;15/04/2024;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;104;8;2023;2023;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;UNIVERSIDADE FEDERAL DE OURO PRETO;23.070.659/0001-10;MG;OURO PRETO
02 DE JULHO: A RETOMADA;B2400226700000;04/06/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;46;;2024;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;JOANA ARANHA MONCAU;PESSOA FÍSICA;SP;SÃO PAULO
12 MINUTOS DE CREPÚSCULO PARA ORIENTAR A NAVEGAÇÃO;B2400040400000;29/01/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;6,0;;2023;;SALAS DE EXIBIÇÃO;NÃO;VENTO LESTE PRODUÇÕES CINEMATOGRÁFICAS LTDA;35.377.602/0001-47;RS;PORTO ALEGRE
13 SENTIMENTOS;B2400158500000;17/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;100;;2024;;SALAS DE EXIBIÇÃO;NÃO;LACUNA FILMES LTDA;08.677.301/0001-66;SP;SÃO PAULO
140 ANOS DE CARANGOLA;B2400087200000;28/02/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;15,1;;2024;;NENHUMA DAS OPÇÕES;NÃO;FRAME PRODUTORA AUDIOVISUAL - LTDA;37.317.214/0001-04;MG;CARANGOLA
15 MINUTOS DE FAMA... E SAMBA!;B2400038700000;26/01/2024;DEFERIDO;JORNALÍSTICA;;COMUM;SERIADA EM TEMPORADA ÚNICA;600;20;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;ARTHUR PEREIRA SILVA;PESSOA FÍSICA;RJ;RIO DE JANEIRO
1538°C - THE IRON HUMAN;B2400262600000;28/06/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;94,6;;2024;;SALAS DE EXIBIÇÃO;NÃO;GRATTITUDE FILMS PRODUCTIONS LTDA;30.693.863/0001-52;SP;RIBEIRÃO PRETO
1986;B2400171300000;24/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA DE DURAÇÃO INDETERMINADA;260;10;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;EDER SAN JÚNIOR CINEMATOGRÁFICA E ARTE LTDA;09.207.344/0001-40;MG;BELO HORIZONTE
2º TEMP. - JACARELVIS E AMIGOS - SÉRIE MUSICAL;B2400020700000;16/01/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;105;15;2022;2022;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;AE PRODUCOES CULTURAIS LTDA EPP;12.355.705/0001-00;SP;CAMPINAS
